536.0000	356.5000
562.5000	357.7500
589.5000	357.0000
477.0000	141.0000
702.0000	141.0000
702.0000	296.0000
477.0000	295.7500
476.7500	164.5000
538.0000	178.5000
588.2500	140.7500
701.2500	238.7500
633.0000	294.0000
486.0000	231.5000
690.0000	182.5000
661.0000	181.5000
664.5000	181.5000
668.0000	183.0000
670.2500	183.0000
673.5000	182.7500
676.5000	182.0000
679.5000	181.5000
683.2500	180.7500
687.0000	180.7500
690.0000	182.0000
692.5000	184.5000
694.5000	188.5000
695.5000	190.0000
696.2500	192.0000
696.5000	195.0000
697.0000	198.5000
697.5000	201.5000
697.7500	205.2500
697.7500	208.0000
697.0000	211.2500
696.0000	215.0000
695.0000	216.7500
696.2500	219.7500
697.5000	222.5000
698.0000	226.5000
698.0000	229.5000
698.2500	232.0000
698.5000	234.5000
698.5000	235.5000
698.5000	238.0000
698.5000	241.0000
698.5000	245.0000
697.5000	248.0000
696.5000	250.0000
695.0000	252.0000
693.7500	255.5000
693.0000	257.7500
692.7500	258.7500
692.0000	259.2500
690.7500	262.0000
689.7500	263.0000
688.2500	264.0000
686.7500	266.2500
685.2500	268.7500
683.5000	271.0000
681.0000	272.7500
679.2500	274.0000
677.0000	275.5000
675.7500	277.0000
674.2500	278.0000
673.0000	279.5000
672.0000	281.5000
669.5000	284.0000
668.7500	284.5000
668.0000	285.0000
667.7500	285.2500
666.7500	286.2500
666.2500	287.0000
665.0000	288.0000
664.0000	289.0000
662.5000	290.2500
661.0000	290.5000
660.5000	291.0000
659.5000	291.0000
658.5000	291.2500
657.0000	291.2500
654.5000	291.5000
652.0000	291.5000
649.5000	294.0000
647.5000	294.2500
645.5000	294.5000
643.7500	294.5000
640.7500	294.5000
639.5000	295.0000
638.2500	295.0000
637.2500	295.0000
